zip,street,city,state,number
48309,Meadowbrook Dr,Rochester Hills,MI,2959
48309,White Birch Ct,Rochester Hills,MI,1946
48309,Walton Blvd,Rochester Hills,MI,2100
48309,S Adams Rd,Rochester Hills,MI,1340
48309,Tienken Rd,Rochester Hills,MI,575
48309,Livernois Rd,Rochester Hills,MI,820
48309,Auburn Rd,Rochester Hills,MI,915
48309,Crooks Rd,Rochester Hills,MI,1234
48309,Hamlin Rd,Rochester Hills,MI,1700
48309,Avon Rd,Rochester Hills,MI,1325
48309,Brewster Rd,Rochester Hills,MI,405
48309,W Avon Rd,Rochester Hills,MI,875
48309,Knollwood Dr,Rochester Hills,MI,2455
48309,Devonshire Dr,Rochester Hills,MI,1930
48309,Brooklands Dr,Rochester Hills,MI,2145
48309,Charnwood Dr,Rochester Hills,MI,1260
48309,Timberline Dr,Rochester Hills,MI,835
48309,Kingsridge Dr,Rochester Hills,MI,915
48309,Parkdale Dr,Rochester Hills,MI,1040
48309,Stratford Dr,Rochester Hills,MI,760
48309,Briarwood Dr,Rochester Hills,MI,880
48309,Crestview Dr,Rochester Hills,MI,635
48309,Greenfield Dr,Rochester Hills,MI,845
48309,Valleybrook Dr,Rochester Hills,MI,910
48309,Willowbrook Dr,Rochester Hills,MI,1035
70461,Spruce Key Ln,Slidell,LA,3604
70461,Chinchas Creek Rd,Slidell,LA,40670
70461,Clairise Ct,Slidell,LA,1137
70461,Bella Sera Ln,Slidell,LA,202
70461,Rue Rochelle,Slidell,LA,115
70461,Mariners Cove Blvd,Slidell,LA,421
70461,Spartan Loop,Slidell,LA,225
70461,Lakeshore Village Dr,Slidell,LA,152
70461,Bayou Liberty Rd,Slidell,LA,720
70461,Palm Lake Dr,Slidell,LA,201
70461,Harbor Dr,Slidell,LA,455
70461,Lake Village Blvd,Slidell,LA,318
70461,Oak Harbor Dr,Slidell,LA,250
70461,Mariners Bay Dr,Slidell,LA,148
70461,Lake Shore Dr,Slidell,LA,612
70461,Dolphin St,Slidell,LA,921
70461,Magnolia Ridge Dr,Slidell,LA,733
70461,Lakeside Dr,Slidell,LA,605
70461,Pelican Dr,Slidell,LA,410
70461,Pine Lake Dr,Slidell,LA,522
70461,Harbor View Ct,Slidell,LA,611
70461,Cypress Cove Dr,Slidell,LA,703
70461,Shoreline Dr,Slidell,LA,815
70461,Lake Breeze Dr,Slidell,LA,901
33907,Trailwinds Dr #912,Fort Myers,FL,5810
33907,New South Province Blvd #3,Fort Myers,FL,3300
33907,Park Meadows Dr #2,Fort Myers,FL,1520
33907,New South Province Blvd #3,Fort Myers,FL,3326
33907,New South Province Blvd #2,Fort Myers,FL,3326
33907,Pinebrook Dr,Fort Myers,FL,112
33907,Tenth Ave,Fort Myers,FL,5511
33907,Park Meadows Dr #2,Fort Myers,FL,1550
33907,Granada Ct,Fort Myers,FL,8608
33907,Sandlewood Ln #3,Fort Myers,FL,3290
33907,Ephraim Ave,Fort Myers,FL,2248
33907,Pebble Beach Dr #207,Fort Myers,FL,1747
33907,Pine Valley Dr #215,Fort Myers,FL,1740
33907,Tall Pine Cir,Fort Myers,FL,13212
33907,S Cleveland Ave #1003,Fort Myers,FL,4790
33907,Augusta Dr #116,Fort Myers,FL,6102
33907,Pine Valley Dr #307,Fort Myers,FL,1700
33907,Fordham St,Fort Myers,FL,8848
33907,Chatham St,Fort Myers,FL,8512
33907,Equestrian Cir #602,Fort Myers,FL,12550
33907,Equestrian Cir #1705,Fort Myers,FL,12620
33907,Brantley Rd Unit J3,Fort Myers,FL,1830
33907,Burton Ave,Fort Myers,FL,2360
33907,Lake Breeze Dr #202,Fort Myers,FL,7402
33907,Vancouver Cir #4,Fort Myers,FL,5839
33907,Augusta Dr #101,Fort Myers,FL,1784
33907,Augusta Dr #301,Fort Myers,FL,6220
33907,Pine Valley Dr #104,Fort Myers,FL,1660
33907,Equestrian Cir #315,Fort Myers,FL,12520
33907,Ephraim Ave,Fort Myers,FL,2436
33907,Trailwinds Dr #726,Fort Myers,FL,5530
33907,Pine Valley Dr #213,Fort Myers,FL,1740
33907,Lake Breeze Dr #305,Fort Myers,FL,7402
33907,Pinebrook Dr,Fort Myers,FL,116
33907,Kenwood Ln Unit C,Fort Myers,FL,12620
33907,Pebble Beach Dr #410,Fort Myers,FL,1781
33907,5th Ave,Fort Myers,FL,5638
33907,Second Ave,Fort Myers,FL,5467
33907,10th Ave,Fort Myers,FL,5539
33907,5th Ave,Fort Myers,FL,5456
33907,7th Ave,Fort Myers,FL,5533
33907,Seventh Ave,Fort Myers,FL,5519
33907,3rd Ave,Fort Myers,FL,5450
33907,5th Ave,Fort Myers,FL,5635
33907,N Pine Dr,Fort Myers,FL,1934
33907,8th Ave,Fort Myers,FL,5514
33907,Oak Dr,Fort Myers,FL,1534
33907,Eighth Ave,Fort Myers,FL,5454
33907,Tenth Ave,Fort Myers,FL,5540
33907,S New Province BLVD Unit 4,Fort Myers,FL,3400
18951,Mariwill Dr,Quakertown,PA,1033
18951,Esther Dr,Quakertown,PA,2
18951,Golfview Dr,Quakertown,PA,24
18951,Golfview Dr,Quakertown,PA,31
18951,Woodedge Dr,Quakertown,PA,10
18951,Woodedge Dr,Quakertown,PA,9
18951,Mill Race Dr,Quakertown,PA,1448
18951,Raub Rd Unit LEXINGTON LOT 2,Quakertown,PA,450
18951,Golfview Dr,Quakertown,PA,21
18951,Laurel Run Dr,Quakertown,PA,20
18951,E Thatcher Rd,Quakertown,PA,1347
18951,Birch,Quakertown,PA,1
18951,Yankee Rd #242,Quakertown,PA,232
18951,Center Hill Dr,Quakertown,PA,36
18951,Cedar Dr,Quakertown,PA,144
18951,Hickory,Quakertown,PA,3
18951,Quarry Rd,Quakertown,PA,3
18951,Evergreen Dr,Quakertown,PA,6
18951,Walnut Ln,Quakertown,PA,6
18951,Ash Ln,Quakertown,PA,18
18951,Devon Dr,Quakertown,PA,2314
18951,Arbour Ln,Quakertown,PA,1127
18951,Union Rd,Quakertown,PA,720
18951,Valley View Dr,Quakertown,PA,2040
18951,Ash Ln,Quakertown,PA,8
18951,Westfield Ct,Quakertown,PA,503
18951,Weisel Rd,Quakertown,PA,1600
18951,Nice Rd,Quakertown,PA,17
18951,Yardley Ct,Quakertown,PA,224
18951,Covered Bridge Rd,Quakertown,PA,496
18951,Shadywood Dr,Quakertown,PA,17
18951,Woodedge Dr,Quakertown,PA,4
18951,Laurel Ter,Quakertown,PA,1
18951,Mill Valley Ln,Quakertown,PA,2132
18951,Mariwill Dr,Quakertown,PA,1017
18951,Hickory Ln,Quakertown,PA,1107
18951,Winterthur Ln,Quakertown,PA,1219
18951,Hillside Dr,Quakertown,PA,9
18951,Erie Rd,Quakertown,PA,422
18951,Daniels Ln,Quakertown,PA,2584
18951,S 9th St,Quakertown,PA,134
18951,Chestnut Dr,Quakertown,PA,119
18951,Emerald Ln,Quakertown,PA,2426
18951,Mimosa Ct,Quakertown,PA,22
18951,Denby Ct,Quakertown,PA,1011
18951,Apple Rd,Quakertown,PA,1142
18951,Axe Handle Rd,Quakertown,PA,4503
18951,Pennington Ln,Quakertown,PA,6
18951,Mariwill Dr,Quakertown,PA,1076
18951,Ivy Ct,Quakertown,PA,54
75211,Grafton Ave,Dallas,TX,2715
75211,Kingston St,Dallas,TX,2815
75211,W 12th St,Dallas,TX,2849
75211,N Ravinia Dr,Dallas,TX,1035
75211,Burlington Blvd,Dallas,TX,2511
75211,Touraine Dr,Dallas,TX,3031
75211,Coombs Creek Dr,Dallas,TX,637
75211,Thibet St,Dallas,TX,3313
75211,Alco Ave,Dallas,TX,2523
75211,Virginia Blvd,Dallas,TX,3564
75211,Barberry Dr,Dallas,TX,2137
75211,Orlando Ct,Dallas,TX,3911
75211,Botany Bay Dr,Dallas,TX,624
75211,Western Park Dr,Dallas,TX,1808
75211,Highview St,Dallas,TX,4501-4503
75211,Western Oaks Dr,Dallas,TX,4649
75211,Dawes Dr,Dallas,TX,4123
75211,Wyoming St,Dallas,TX,4533
75211,Fort Worth Ave,Dallas,TX,2400
75211,Remond Dr,Dallas,TX,3050
75211,N Cockrell Hill Rd,Dallas,TX,1310
75211,El Tivoli Dr,Dallas,TX,2717
75211,Coombs Creek Dr,Dallas,TX,1231
75211,Ott Cir,Dallas,TX,1
75211,Marcell Ave,Dallas,TX,4444
75211,Coombs Creek Dr,Dallas,TX,2809
75211,Winonly Cir,Dallas,TX,6165
75211,Sportsmans Pkwy,Dallas,TX,6151
75211,Sportsmans Pkwy,Dallas,TX,6111
75211,S Bond Ave,Dallas,TX,310
75211,Ginger Ave,Dallas,TX,4529
75211,Charlotte St,Dallas,TX,1327
75211,Botany Bay Dr,Dallas,TX,755
75211,Lourdes St,Dallas,TX,3008
75211,Falls Dr,Dallas,TX,3014
75211,Western Park Dr,Dallas,TX,1720
75211,N Boulevard Ter,Dallas,TX,730
75211,Shelley Blvd,Dallas,TX,3425
19030,Parkway Dr,Fairless Hills,PA,521
19030,Hoover Dr,Fairless Hills,PA,111
19030,Austin Dr,Fairless Hills,PA,325
19030,Durham Ct,Fairless Hills,PA,215
19030,Beaumont Rd,Fairless Hills,PA,619
19030,Lincoln Hwy,Fairless Hills,PA,211
19030,Stanford Rd,Fairless Hills,PA,541
19030,Harrison Dr,Fairless Hills,PA,66
19030,Johnson Dr,Fairless Hills,PA,201
19030,Harrison Dr,Fairless Hills,PA,62
19030,Johnson Dr,Fairless Hills,PA,209
19030,Doone Rd,Fairless Hills,PA,338
19030,Trenton Rd,Fairless Hills,PA,679
19030,Lincoln Hwy,Fairless Hills,PA,380
19030,Hidden Forest Ct,Fairless Hills,PA,602
19030,S Olds Blvd,Fairless Hills,PA,251
19030,Beaumont Rd,Fairless Hills,PA,702
19030,Lebbie Ln,Fairless Hills,PA,131
19030,Austin Dr,Fairless Hills,PA,549
19030,Arlington Rd,Fairless Hills,PA,608
19030,Auburn Rd,Fairless Hills,PA,820
19030,Austin Dr,Fairless Hills,PA,550
98107,NW 58th St,Seattle,WA,2821
98107,Seaview Ave NW #207,Seattle,WA,5700
98107,NW 58th St,Seattle,WA,1145
98107,NW 59th St,Seattle,WA,1122
98107,NW 59th St,Seattle,WA,2842
98107,26th Ave NW #306,Seattle,WA,5400
98107,NW 62nd St,Seattle,WA,1412
98107,NW 58th St #4,Seattle,WA,2024
98107,NW 60th St,Seattle,WA,2441
98107,NW 57th St,Seattle,WA,1141
98107,NW 64th St,Seattle,WA,2820
98107,3rd Ave NW,Seattle,WA,6003
98107,11th Ave NW,Seattle,WA,5415
98107,NW 57th St #204,Seattle,WA,1748
98107,NW 59th St,Seattle,WA,2829
98107,NW 51st St,Seattle,WA,530
98107,NW 59th St,Seattle,WA,2853
98107,17th Ave NW #306,Seattle,WA,5608
98107,26th Ave NW,Seattle,WA,5702
98107,NW 62nd St,Seattle,WA,1536
98107,NW 63rd St,Seattle,WA,853
98107,3rd Ave NW,Seattle,WA,5812
98107,NW 62nd St,Seattle,WA,1410
98107,NW 58th St,Seattle,WA,2445
98107,NW 59th St,Seattle,WA,2848
98107,NW 58th St,Seattle,WA,1123
98107,NW 63rd St,Seattle,WA,1412
98107,NW 54th St #420,Seattle,WA,1543
98107,Seaview Ave NW #204,Seattle,WA,5701
98107,NW 58th St,Seattle,WA,2825
98107,NW 63rd St,Seattle,WA,1411
98107,NW 59th St,Seattle,WA,1712
98107,NW 64th St,Seattle,WA,2822
98107,NW 64th St,Seattle,WA,2824
98107,NW 64th St,Seattle,WA,2828
98107,26th Ave NW,Seattle,WA,5758
98107,NW 62nd St,Seattle,WA,1414
98107,NW 58th St #3,Seattle,WA,2024
98107,NW 59th St,Seattle,WA,2857
98107,Seaview Ave NW #101,Seattle,WA,5705
98107,NW 59th St,Seattle,WA,1124
98107,NW 59th St,Seattle,WA,1730
98107,NW 64th St,Seattle,WA,2826
98107,NW 54th St #310,Seattle,WA,1543
98107,Seaview Ave NW #302,Seattle,WA,5707
98107,NW 59th St,Seattle,WA,1126
98107,NW 59th St,Seattle,WA,1740
98107,NW 64th St,Seattle,WA,2830
98107,NW 54th St #205,Seattle,WA,1543
98107,Seaview Ave NW #401,Seattle,WA,5711
07601,Central Ave,Hackensack,NJ,228
07601,Prospect Ave Unit 5B,Hackensack,NJ,340
07601,Prospect Ave Unit 4N,Hackensack,NJ,100
07601,Prospect Ave Unit 10J,Hackensack,NJ,140
07601,Prospect Ave Unit 12B,Hackensack,NJ,222
07601,Central Ave Unit 210B,Hackensack,NJ,210
07601,Main St Unit 302,Hackensack,NJ,389
